2024-10-03 17:49:02,903 INFO django.utils.autoreload Watching for file changes with StatReloader
2024-10-04 11:20:06,992 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54821]
2024-10-04 11:20:07,126 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54821]
2024-10-04 11:20:07,259 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54821]
2024-10-04 11:20:07,384 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54821]
2024-10-04 11:26:59,636 INFO django.channels.server HTTP GET /jobs 301 [0.01, 127.0.0.1:55068]
2024-10-04 11:26:59,757 INFO django.channels.server HTTP GET /jobs/ 200 [0.00, 127.0.0.1:55068]
2024-10-04 11:27:03,456 INFO django.channels.server HTTP GET /jobs/favorite-worker/ 200 [0.00, 127.0.0.1:55068]
2024-10-04 11:27:05,810 INFO django.channels.server HTTP GET /jobs/favorite-worker/ 200 [0.01, 127.0.0.1:55068]
2024-10-04 11:27:11,319 INFO django.channels.server HTTP GET /jobs 301 [0.01, 127.0.0.1:55068]
2024-10-04 11:27:11,446 INFO django.channels.server HTTP GET /jobs/ 200 [0.00, 127.0.0.1:55068]
2024-10-04 11:30:55,825 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.02, 127.0.0.1:55202]
2024-10-04 11:30:55,833 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=5 200 [0.02, 127.0.0.1:55204]
2024-10-04 11:30:55,836 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=2 200 [0.02, 127.0.0.1:55203]
2024-10-04 11:30:55,852 INFO django.channels.server HTTP GET /jobs/job-categories/ 200 [0.02, 127.0.0.1:55209]
2024-10-04 11:30:55,857 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=4 200 [0.02, 127.0.0.1:55210]
2024-10-04 11:30:55,864 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=6 200 [0.03, 127.0.0.1:55208]
2024-10-04 11:30:55,890 INFO django.channels.server HTTP GET /jobs/jobs/ 200 [0.08, 127.0.0.1:55201]
2024-10-04 11:30:55,917 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:55204]
2024-10-04 11:30:55,925 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=5 200 [0.01, 127.0.0.1:55202]
2024-10-04 11:30:55,935 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=2 200 [0.01, 127.0.0.1:55212]
2024-10-04 11:30:55,953 INFO django.channels.server HTTP GET /jobs/job-categories/ 200 [0.01, 127.0.0.1:55214]
2024-10-04 11:30:55,968 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=4 200 [0.01, 127.0.0.1:55204]
2024-10-04 11:30:55,977 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=6 200 [0.01, 127.0.0.1:55201]
2024-10-04 11:30:56,037 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:55202]
2024-10-04 11:30:56,056 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=2 200 [0.02, 127.0.0.1:55218]
